
================================================================================
Monitoring Started: 2025-10-11 21:11:21
================================================================================
2025-10-11 21:15:54 | CPU: 10.6% | Freq: 3187MHz | Load: 0.06/0.08/0.04 | MEM: 84.4% | Used: 6.57GB | Avail: 1.22GB | Total: 7.79GB | SWAP: 20.2% | Per-Core: [4.6%, 0.0%, 7.7%, 10.9%, 16.9%, 4.7%, 0.0%, 1.6%]
2025-10-11 21:16:01 | CPU: 5.4% | Freq: 3187MHz | Load: 0.06/0.08/0.04 | MEM: 86.4% | Used: 6.73GB | Avail: 1.06GB | Total: 7.79GB | SWAP: 20.1% | Per-Core: [39.4%, 33.8%, 50.0%, 20.3%, 41.5%, 31.2%, 35.4%, 20.3%]
2025-10-11 21:16:08 | CPU: 13.4% | Freq: 3187MHz | Load: 0.27/0.13/0.06 | MEM: 86.2% | Used: 6.72GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 23.1% | Per-Core: [20.0%, 0.0%, 14.1%, 4.7%, 12.1%, 1.6%, 4.7%, 11.1%]
2025-10-11 21:16:15 | CPU: 16.7% | Freq: 3187MHz | Load: 0.25/0.13/0.06 | MEM: 82.5% | Used: 6.43GB | Avail: 1.36GB | Total: 7.79GB | SWAP: 23.1% | Per-Core: [18.8%, 7.8%, 21.5%, 14.1%, 23.4%, 15.4%, 21.5%, 6.2%]
2025-10-11 21:16:22 | CPU: 74.4% | Freq: 3187MHz | Load: 0.21/0.12/0.06 | MEM: 88.0% | Used: 6.85GB | Avail: 959.24MB | Total: 7.79GB | SWAP: 23.1% | Per-Core: [39.4%, 12.5%, 24.6%, 17.2%, 28.1%, 15.6%, 21.9%, 48.4%]
2025-10-11 21:16:29 | CPU: 15.4% | Freq: 3187MHz | Load: 0.19/0.12/0.06 | MEM: 85.5% | Used: 6.66GB | Avail: 1.13GB | Total: 7.79GB | SWAP: 23.1% | Per-Core: [10.8%, 6.2%, 12.5%, 12.7%, 18.5%, 10.8%, 6.2%, 10.9%]
2025-10-11 21:16:36 | CPU: 57.7% | Freq: 3187MHz | Load: 0.18/0.12/0.06 | MEM: 88.5% | Used: 6.90GB | Avail: 914.05MB | Total: 7.79GB | SWAP: 23.1% | Per-Core: [27.7%, 18.5%, 20.3%, 22.7%, 29.7%, 17.2%, 28.1%, 15.6%]
2025-10-11 21:16:43 | CPU: 7.4% | Freq: 3187MHz | Load: 0.15/0.11/0.06 | MEM: 85.7% | Used: 6.67GB | Avail: 1.11GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [21.2%, 7.8%, 30.3%, 7.8%, 14.1%, 12.5%, 16.9%, 7.8%]
2025-10-11 21:16:50 | CPU: 16.5% | Freq: 3187MHz | Load: 0.14/0.11/0.06 | MEM: 86.3% | Used: 6.72GB | Avail: 1.06GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [7.7%, 3.1%, 4.7%, 1.5%, 10.9%, 1.6%, 6.2%, 3.1%]
2025-10-11 21:16:57 | CPU: 23.5% | Freq: 3187MHz | Load: 0.12/0.11/0.06 | MEM: 86.2% | Used: 6.71GB | Avail: 1.07GB | Total: 7.79GB | SWAP: 23.0% | Per-Core: [13.6%, 7.8%, 19.7%, 7.8%, 24.6%, 7.9%, 9.2%, 10.8%]
